dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000088,FRAGMENT_ONLY,72.896714032,70.14671468734741,0.9891764705882353,262,330,2,2,69.92482852935791,59.47544860839844,3,953981290,,"one or more required streams has a gap >200 ms | 262 dropped-frame events, about 330 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000088
f1-5-201,episode_000089,FRAGMENT_ONLY,61.086579182,58.72761416435242,0.9848314606741573,182,235,4,3,54.57449173927307,23.308427810668945,3,797403017,,"one or more required streams has a gap >200 ms | 182 dropped-frame events, about 235 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000089
f1-5-201,episode_000090,FRAGMENT_ONLY,63.530584099,63.47706341743469,0.9875195007800313,156,198,2,2,57.965877294540405,36.88938784599304,2,845599391,,"one or more required streams has a gap >200 ms | 156 dropped-frame events, about 198 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000090
f1-5-201,episode_000091,FRAGMENT_ONLY,62.151009275,62.08503723144531,0.9883040935672515,193,240,2,2,58.666789531707764,41.81392741203308,2,827111712,,"one or more required streams has a gap >200 ms | 193 dropped-frame events, about 240 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000091
f1-5-201,episode_000092,FRAGMENT_ONLY,67.237960089,65.1426911354065,0.9924012158054711,149,174,1,1,60.90668821334839,60.90668821334839,3,906838848,,"one or more required streams has a gap >200 ms | 149 dropped-frame events, about 174 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000092
f1-5-201,episode_000093,FRAGMENT_ONLY,66.253412978,66.19500064849854,0.9890329012961117,204,251,2,3,65.69203567504883,24.823771238327026,3,898442530,,"one or more required streams has a gap >200 ms | 204 dropped-frame events, about 251 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000093
f1-5-201,episode_000094,FRAGMENT_ONLY,67.139197515,65.49056768417358,0.9919354838709677,176,209,2,3,65.02967286109924,26.670130252838135,3,901245543,,"one or more required streams has a gap >200 ms | 176 dropped-frame events, about 209 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000094
f1-5-201,episode_000095,READY,67.266365237,64.69909882545471,0.9964303926568078,179,211,0,1,64.69909882545471,64.69909882545471,2,901146363,,"179 dropped-frame events, about 211 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000095
f1-5-201,episode_000096,FRAGMENT_ONLY,69.430946968,69.36678886413574,0.9923918212077983,163,189,2,2,65.90098524093628,53.77433776855469,2,940503456,,"one or more required streams has a gap >200 ms | 163 dropped-frame events, about 189 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000096
f1-5-201,episode_000097,FRAGMENT_ONLY,68.679935117,68.62020659446716,0.99375,145,173,2,2,66.63421964645386,48.19030213356018,3,933480532,,"one or more required streams has a gap >200 ms | 145 dropped-frame events, about 173 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000097
